Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as,Location
Asara B'Tevet,1/1/2034,,,,TRUE,Fast commemorating the siege of Jerusalem,3,Jewish Holidays
Rosh Chodesh Sh'vat,21/1/2034,,,,TRUE,Beginning of new Hebrew month of Sh'vat,3,Jewish Holidays
Tu BiShvat,4/2/2034,,,,TRUE,New Year for Trees,3,Jewish Holidays
Shabbat Shekalim,18/2/2034,,,,TRUE,Shabbat before Rosh Chodesh Adar,3,Jewish Holidays
Rosh Chodesh Adar,19/2/2034,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Rosh Chodesh Adar,20/2/2034,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Ta'anit Esther,2/3/2034,,,,TRUE,Fast of Esther,3,Jewish Holidays
Shabbat Zachor,4/3/2034,,,,TRUE,Shabbat before Purim,3,Jewish Holidays
Erev Purim,4/3/2034,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Purim,5/3/2034,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Shushan Purim,6/3/2034,,,,TRUE,Purim celebrated in Jerusalem and walled cities,3,Jewish Holidays
Shabbat Parah,11/3/2034,,,,TRUE,Shabbat of the Red Heifer,3,Jewish Holidays
Shabbat HaChodesh,18/3/2034,,,,TRUE,Shabbat before Rosh Chodesh Nissan,3,Jewish Holidays
Rosh Chodesh Nisan,21/3/2034,,,,TRUE,Beginning of new Hebrew month of Nisan,3,Jewish Holidays
Shabbat HaGadol,1/4/2034,,,,TRUE,Shabbat before Pesach,3,Jewish Holidays
Ta'anit Bechorot,3/4/2034,,,,TRUE,Fast of the First Born,3,Jewish Holidays
Erev Pesach,3/4/2034,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach I,4/4/2034,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach II,5/4/2034,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach III (CH''M),6/4/2034,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach IV (CH''M),7/4/2034,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
